standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.0663867,0.483516,0.209232,0.483516,All
-0.0655395,0.484515,0.209788,0.484515,All
-0.0653064,0.485514,0.213616,0.485514,All
-0.0628982,0.486513,0.216385,0.486513,All
-0.062021,0.487512,0.217389,0.487512,All
-0.0610717,0.488511,0.21874,0.488511,All
-0.0605781,0.48951,0.221133,0.48951,All
-0.0599398,0.490509,0.224377,0.490509,All
-0.0587837,0.491508,0.225422,0.491508,All
-0.0586497,0.492507,0.226176,0.492507,All
-0.0575542,0.493506,0.22745,0.493506,All
-0.0570882,0.494505,0.228141,0.494505,All
-0.0542739,0.495504,0.22822,0.495504,All
-0.0537673,0.496503,0.228342,0.496503,All
-0.0531752,0.497502,0.229397,0.497502,All
-0.0525202,0.498501,0.231611,0.498501,All
-0.0520352,0.4995,0.231758,0.4995,All
-0.0505881,0.5005,0.231921,0.5005,All
-0.0494984,0.501499,0.235048,0.501499,All
-0.048683,0.502498,0.23641,0.502498,All
-0.0486057,0.503497,0.236704,0.503497,All
-0.0484253,0.504496,0.237359,0.504496,All
-0.0481788,0.505495,0.238273,0.505495,All
-0.0462832,0.506494,0.238347,0.506494,All
-0.046028,0.507493,0.245932,0.507493,All
-0.0445802,0.508492,0.246526,0.508492,All
-0.0437314,0.509491,0.247074,0.509491,All
-0.0429044,0.51049,0.250997,0.51049,All
-0.0424359,0.511489,0.251632,0.511489,All
-0.0398893,0.512488,0.25411,0.512488,All
-0.0395065,0.513487,0.254158,0.513487,All
-0.0378094,0.514486,0.257149,0.514486,All
-0.036796,0.515485,0.259719,0.515485,All
-0.0367712,0.516484,0.260662,0.516484,All
-0.0366204,0.517483,0.26141,0.517483,All
-0.0364507,0.518482,0.26433,0.518482,All
-0.0346828,0.519481,0.26485,0.519481,All
-0.0341808,0.52048,0.265637,0.52048,All
-0.033631,0.521479,0.266397,0.521479,All
-0.0331261,0.522478,0.266704,0.522478,All
-0.03241,0.523477,0.267635,0.523477,All
-0.0318241,0.524476,0.272248,0.524476,All
-0.0301187,0.525475,0.27256,0.525475,All
-0.0295467,0.526474,0.272934,0.526474,All
-0.0268322,0.527473,0.273504,0.527473,All
-0.0260439,0.528472,0.27419,0.528472,All
-0.0259366,0.529471,0.274371,0.529471,All
-0.0251551,0.53047,0.277543,0.53047,All
-0.023999,0.531469,0.279183,0.531469,All
-0.023076,0.532468,0.279961,0.532468,All
-0.021767,0.533467,0.283609,0.533467,All
-0.0214974,0.534466,0.284769,0.534466,All
-0.0214351,0.535465,0.286523,0.535465,All
-0.0207072,0.536464,0.289176,0.536464,All
-0.0194112,0.537463,0.291068,0.537463,All
-0.0189013,0.538462,0.293694,0.538462,All
-0.0185034,0.539461,0.294188,0.539461,All
-0.0183606,0.54046,0.296488,0.54046,All
-0.0171448,0.541459,0.299041,0.541459,All
-0.0168351,0.542458,0.299258,0.542458,All
-0.0153949,0.543457,0.300272,0.543457,All
-0.0151995,0.544456,0.301145,0.544456,All
-0.0151229,0.545455,0.301557,0.545455,All
-0.0141274,0.546454,0.30285,0.546454,All
-0.0141215,0.547453,0.303125,0.547453,All
-0.0130219,0.548452,0.303656,0.548452,All
-0.012009,0.549451,0.303839,0.549451,All
-0.0111316,0.55045,0.303871,0.55045,All
-0.00957079,0.551449,0.306809,0.551449,All
