iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
293,12328.3,2,0.889262,0.50482,-0.246967,0.762251,0.361431,0.837281,4.11009
294,12282.9,2,0.894839,0.505046,-0.247174,0.754593,0.362395,0.843329,4.06763
295,12348.9,2,0.89406,0.505014,-0.247355,0.759397,0.36219,0.839431,4.11318
296,12356.8,2,0.892496,0.504992,-0.24759,0.761199,0.36335,0.836053,4.13594
297,12334.4,2,0.889042,0.501127,-0.247575,0.759052,0.367544,0.833825,4.11104
298,12379.6,2,0.888027,0.501474,-0.247243,0.758385,0.370026,0.831323,4.12314
299,12321.3,2,0.885982,0.498663,-0.247039,0.75521,0.37134,0.82968,4.10402
300,12319.2,2,0.880919,0.497922,-0.246797,0.763749,0.370322,0.832876,4.09136
301,12344,2,0.881793,0.50015,-0.246568,0.760595,0.372538,0.831035,4.08563
302,12362.2,2,0.879067,0.502316,-0.246804,0.760133,0.372151,0.830557,4.10012
303,12320.6,2,0.876148,0.501498,-0.246908,0.769657,0.373222,0.828595,4.08981
304,12248.8,2,0.872971,0.499145,-0.246893,0.774557,0.366196,0.828981,4.10978
305,12300.1,2,0.873223,0.497042,-0.246947,0.775853,0.36514,0.828526,4.11416
