iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
222,11926.7,2,75.3403,0.812658,1.2794,0.419362,-0.851959,-0.826042,0.527815,0.66335,0.212636
223,11932.4,2,74.5236,0.743606,1.28947,0.428719,-0.825834,-0.790905,0.530465,0.655243,0.213327
224,11876.5,2,73.7936,0.733655,1.31848,0.439281,-0.801047,-0.778656,0.525586,0.662874,0.209976
225,11777.8,2,72.0663,0.744794,1.315,0.458732,-0.809132,-0.822442,0.511427,0.641826,0.210247
226,11912.8,2,71.7194,0.695125,1.31042,0.474352,-0.818692,-0.822894,0.517622,0.650641,0.215728
227,11820.3,2,71.4291,0.61659,1.3186,0.470827,-0.80987,-0.82261,0.498547,0.646545,0.216891
228,11693.8,2,71.2867,0.65545,1.32178,0.461113,-0.823276,-0.83838,0.501694,0.619164,0.212827
229,11736.5,2,71.2786,0.696573,1.33436,0.430674,-0.74929,-0.855369,0.503588,0.62975,0.212181
230,11757.3,2,71.8801,0.751451,1.30861,0.465575,-0.727363,-0.832596,0.496634,0.637935,0.214299
231,11745.2,2,72.9941,0.738836,1.2594,0.482315,-0.787558,-0.844275,0.509634,0.649799,0.206849
232,11691.9,2,72.5899,0.71848,1.29518,0.45008,-0.806635,-0.823905,0.508237,0.640248,0.205794
233,11702,2,72.7103,0.740541,1.3136,0.442013,-0.838995,-0.810851,0.504672,0.647485,0.205229
234,11777.3,2,73.646,0.742539,1.33015,0.414767,-0.841686,-0.789735,0.500609,0.658191,0.207262
235,11816.3,2,73.5693,0.724762,1.31715,0.430533,-0.870298,-0.803499,0.497521,0.66763,0.208521
236,11793.7,2,73.1975,0.71831,1.2954,0.445244,-0.838569,-0.812953,0.500906,0.659863,0.209129
237,11871.8,2,73.8524,0.73995,1.29124,0.43486,-0.842967,-0.813462,0.504666,0.659604,0.211786
238,11780.6,2,74.2542,0.765174,1.28911,0.431874,-0.903398,-0.827904,0.498853,0.66214,0.210926
239,11868.6,2,74.5172,0.735151,1.27673,0.434553,-0.888288,-0.841093,0.501865,0.662913,0.211328
240,11839.8,2,74.6969,0.725747,1.26241,0.455002,-0.888072,-0.840965,0.501136,0.670322,0.210062
241,11846.6,2,74.2144,0.705206,1.2547,0.461087,-0.900358,-0.828877,0.498323,0.664033,0.212157
242,11814.9,2,74.2879,0.733627,1.27336,0.440288,-0.885109,-0.84916,0.489942,0.663806,0.214317
243,11852.4,2,74.2761,0.751141,1.26962,0.443994,-0.847251,-0.859137,0.495481,0.660811,0.214476
