standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.573771,0.152847,-0.498825,0.152847,All
-0.572928,0.153846,-0.49555,0.153846,All
-0.572705,0.154845,-0.494896,0.154845,All
-0.567836,0.155844,-0.489271,0.155844,All
-0.560559,0.156843,-0.483124,0.156843,All
-0.559976,0.157842,-0.47365,0.157842,All
-0.559768,0.158841,-0.459804,0.158841,All
-0.558519,0.15984,-0.457211,0.15984,All
-0.55495,0.160839,-0.455892,0.160839,All
-0.550317,0.161838,-0.451024,0.161838,All
-0.549575,0.162837,-0.448171,0.162837,All
-0.545515,0.163836,-0.447764,0.163836,All
-0.537025,0.164835,-0.441508,0.164835,All
-0.536118,0.165834,-0.441064,0.165834,All
-0.535545,0.166833,-0.437905,0.166833,All
-0.531356,0.167832,-0.437392,0.167832,All
-0.528828,0.168831,-0.43739,0.168831,All
-0.527432,0.16983,-0.43648,0.16983,All
-0.523838,0.170829,-0.432259,0.170829,All
-0.521242,0.171828,-0.43186,0.171828,All
-0.514234,0.172827,-0.429398,0.172827,All
-0.503488,0.173826,-0.425655,0.173826,All
-0.501424,0.174825,-0.424865,0.174825,All
-0.501092,0.175824,-0.424207,0.175824,All
-0.500342,0.176823,-0.420827,0.176823,All
-0.49319,0.177822,-0.416169,0.177822,All
-0.492967,0.178821,-0.415117,0.178821,All
-0.492545,0.17982,-0.40102,0.17982,All
-0.49146,0.180819,-0.400844,0.180819,All
-0.490892,0.181818,-0.400024,0.181818,All
-0.489558,0.182817,-0.399456,0.182817,All
-0.48731,0.183816,-0.385727,0.183816,All
-0.484459,0.184815,-0.385721,0.184815,All
-0.480114,0.185814,-0.382214,0.185814,All
-0.47976,0.186813,-0.378913,0.186813,All
-0.478827,0.187812,-0.378358,0.187812,All
-0.473894,0.188811,-0.376296,0.188811,All
-0.472523,0.18981,-0.376289,0.18981,All
-0.47096,0.190809,-0.373258,0.190809,All
-0.470685,0.191808,-0.365588,0.191808,All
-0.470188,0.192807,-0.360909,0.192807,All
-0.46792,0.193806,-0.353457,0.193806,All
-0.46455,0.194805,-0.347829,0.194805,All
-0.461097,0.195804,-0.347722,0.195804,All
-0.459704,0.196803,-0.347645,0.196803,All
-0.456675,0.197802,-0.347262,0.197802,All
-0.455595,0.198801,-0.341573,0.198801,All
-0.451095,0.1998,-0.34006,0.1998,All
-0.450269,0.200799,-0.332651,0.200799,All
-0.445464,0.201798,-0.330394,0.201798,All
-0.444057,0.202797,-0.325699,0.202797,All
-0.443624,0.203796,-0.319295,0.203796,All
-0.443179,0.204795,-0.317137,0.204795,All
-0.442637,0.205794,-0.317051,0.205794,All
-0.442245,0.206793,-0.315959,0.206793,All
-0.439513,0.207792,-0.313753,0.207792,All
-0.438299,0.208791,-0.312803,0.208791,All
-0.435321,0.20979,-0.312742,0.20979,All
-0.434022,0.210789,-0.310063,0.210789,All
-0.432808,0.211788,-0.307812,0.211788,All
-0.430635,0.212787,-0.305781,0.212787,All
-0.430018,0.213786,-0.303304,0.213786,All
-0.428687,0.214785,-0.302935,0.214785,All
-0.428456,0.215784,-0.296131,0.215784,All
-0.428266,0.216783,-0.29434,0.216783,All
-0.423077,0.217782,-0.293862,0.217782,All
-0.420673,0.218781,-0.29204,0.218781,All
-0.41968,0.21978,-0.289094,0.21978,All
-0.417392,0.220779,-0.285254,0.220779,All
-0.413732,0.221778,-0.284541,0.221778,All
-0.413306,0.222777,-0.282211,0.222777,All
-0.407881,0.223776,-0.269878,0.223776,All
-0.407842,0.224775,-0.262303,0.224775,All
-0.405638,0.225774,-0.258715,0.225774,All
-0.40554,0.226773,-0.256463,0.226773,All
-0.397833,0.227772,-0.25296,0.227772,All
-0.388884,0.228771,-0.24939,0.228771,All
-0.388065,0.22977,-0.246037,0.22977,All
-0.385521,0.230769,-0.241541,0.230769,All
-0.384969,0.231768,-0.241342,0.231768,All
-0.379977,0.232767,-0.236642,0.232767,All
-0.37942,0.233766,-0.234843,0.233766,All
-0.379066,0.234765,-0.23397,0.234765,All
-0.372817,0.235764,-0.232793,0.235764,All
-0.37196,0.236763,-0.23274,0.236763,All
-0.371701,0.237762,-0.231882,0.237762,All
-0.370584,0.238761,-0.229487,0.238761,All
-0.368847,0.23976,-0.228509,0.23976,All
-0.366948,0.240759,-0.225123,0.240759,All
-0.358832,0.241758,-0.224457,0.241758,All
-0.35704,0.242757,-0.224317,0.242757,All
-0.350215,0.243756,-0.216438,0.243756,All
-0.346385,0.244755,-0.215437,0.244755,All
-0.346049,0.245754,-0.21477,0.245754,All
-0.345155,0.246753,-0.214187,0.246753,All
-0.343092,0.247752,-0.210911,0.247752,All
-0.342574,0.248751,-0.20817,0.248751,All
-0.34073,0.24975,-0.205533,0.24975,All
-0.339989,0.250749,-0.203632,0.250749,All
-0.335419,0.251748,-0.196486,0.251748,All
-0.334529,0.252747,-0.195933,0.252747,All
-0.332335,0.253746,-0.195375,0.253746,All
-0.332266,0.254745,-0.194698,0.254745,All
-0.328917,0.255744,-0.194255,0.255744,All
-0.327921,0.256743,-0.190586,0.256743,All
-0.325722,0.257742,-0.189058,0.257742,All
-0.325407,0.258741,-0.183938,0.258741,All
-0.324231,0.25974,-0.18044,0.25974,All
-0.322973,0.260739,-0.178566,0.260739,All
-0.322693,0.261738,-0.174781,0.261738,All
-0.317687,0.262737,-0.171521,0.262737,All
-0.317153,0.263736,-0.170608,0.263736,All
-0.316828,0.264735,-0.16368,0.264735,All
-0.316176,0.265734,-0.16023,0.265734,All
-0.315315,0.266733,-0.156079,0.266733,All
-0.315065,0.267732,-0.154134,0.267732,All
